ID	Ctrl_1	Ctrl_2	Ctrl_3	Ctrl_4	Ctrl_5	Ctrl_6	Ctrl_7	Ctrl_8	Ctrl_9	BRCA1_1	BRCA1_2	BRCA1_3	BRCA1_4	BRCA1_5	BRCA1_6	BRCA1_7	BRCA1_8	BRCA1_9	BRCA2_1	BRCA2_2	BRCA2_3	BRCA2_4	BRCA2_5	BRCA2_6	BRCA2_7	BRCA2_8
1007_s_at	5.39375331250521	5.278569164970145	5.343377030772081	5.285536204128755	5.272833799492464	5.532956455724806	5.277053850072888	5.387440328054552	5.308957835973322	5.3557806327051445	5.33207225472321	5.399363346327258	5.289733045253504	5.301639894007742	5.233174297887628	5.3698150023987825	5.292160865602732	5.392292590986762	5.3773472086888905	5.422425199457183	5.424184547137633	5.37452408233009	5.450401655748411	5.4029250257146	5.360111733191553	5.405761770124119
1053_at	5.892246112072809	5.900310229848241	6.022320725739242	5.944159458632788	5.704683481763273	5.708765976191142	6.054482528952935	5.370511171295853	5.839022481428658	5.617014358275265	5.928251808456752	5.933662349974634	5.980242240213737	5.962557025654502	5.933067281394893	5.687066421066182	5.785130392144656	5.774165651029378	5.673825978749362	5.692763619150712	5.863117764678278	5.852070828041648	5.855212576719885	5.908231080832219	5.841007343977546	5.700792803561903
117_at	5.013469458115299	5.061931196117615	5.093927114977952	5.122018357737095	5.138170847591858	5.205313329746699	5.055996862602396	5.197085849194881	5.139258709772091	6.2685845200990835	5.12579155170093	5.074958692952594	5.079081359655274	5.08342391699633	5.139437924859147	6.51189222548369	5.324985690704447	5.405366414284444	5.037158329966961	5.161237116158833	5.173037314653569	5.136790856585474	5.484634088721664	5.029418825896965	5.052687316124292	5.127724936079277
121_at	5.5500377362498465	5.563070873066074	5.613074888422222	5.5079814634057485	5.555287372074525	5.640009156179046	5.403285113139961	5.5595553548429315	5.545946394748667	5.602274664065703	5.548471526641384	5.470831527235253	5.454313986383128	5.491722489014775	5.602351038121453	5.571261915323348	5.605311343552064	5.495729424902546	5.54550969901854	5.525844320532139	5.636451125856585	5.485618981020928	5.629730477881284	5.620424035530957	5.552863504315854	5.484769664650706
1255_g_at	4.921318934815341	4.870416973766114	4.847486277131902	4.863328800658499	4.802570570151965	4.863419262944124	4.878945174941889	4.824959833235521	4.8292045794558	4.849387877507089	4.854572044216131	4.8157438354945	4.826512849529952	4.803808899942316	4.811370629347271	4.8469600908634485	4.919438135788354	4.840597835608842	4.855641854673349	4.821261330931005	4.860882438274849	4.855253452763043	4.903103004078119	4.918308135319145	4.829051750543875	4.854595796411717
1294_at	5.983051173823	5.9157936263294895	5.62629366950932	5.886839827693698	6.013537569487642	6.061250505453959	5.816026291381191	6.126701694620201	6.013470788480891	5.967509579375184	5.8692865601695	5.926833637457001	5.899646242391382	5.910108204133211	5.9885487947564995	6.022410127947876	6.047094011969357	5.973516300631079	5.961852782426965	6.058180233774712	5.971665350431218	5.803213558341145	5.941725234133837	5.992574685209864	5.951368669083619	6.047446358452166
1316_at	4.962049838617834	4.940414261905487	4.97620712110915	5.018557270615886	4.993728008202134	4.972214465711511	4.949483172900087	4.991142224403681	4.946322812152048	5.042756795536715	4.966702316181596	4.956063891104373	4.924238459155366	5.017416460614045	4.982651631162624	4.94632607259662	5.011727688949769	4.953209991943671	4.939846988562263	4.995605711500549	5.028053630457947	4.946768937955038	5.026602667943804	4.912847308520318	4.970189890193474	5.031569902215189
1320_at	4.926298954104065	4.973861623016106	5.032096835040007	4.9163897593516666	4.972139144473616	4.844264890544419	4.969381389702547	4.957501131801558	4.961921576742464	4.98133067948719	5.0195038199962045	4.8697052966173855	4.936931341505916	4.957244274822222	5.010985438284659	4.914362085399094	4.925233045377611	4.924002068647814	5.008613251439486	4.9409446747231485	4.9591567992518275	4.983933828346499	4.94934850355947	4.923916554957575	4.9594346710819455	4.962285534568096
1405_i_at	6.274603353724842	6.431155679111767	6.083706136792393	6.418932674488831	6.546349810356048	6.412326862301849	6.225882743126227	6.340823492520475	6.354459580226644	6.4974474397366295	6.508958855683392	6.494469492133734	6.226231592338896	6.058390553185226	6.228625965230393	6.414053972668085	6.143874334714138	6.408086733256797	6.489662272560449	6.494101399874461	6.193595080538109	6.33491654564443	6.253563510242038	6.42847026803961	6.454261437591772	6.492444029540066
1431_at	4.817484742300215	4.842464243086293	4.849747604443967	4.870558592569637	4.874578233382294	4.888828208538125	4.847770160359857	4.817347789926339	4.83577300294743	4.865948043382593	4.852437930781258	4.847076873017593	4.805135776801453	4.8487689730541135	4.844662577034382	4.850553828867173	4.853553954438264	4.855371936919692	4.918511460689172	4.8803440242368605	4.8845263229698554	4.836406450039475	4.861146886257083	4.896210100860754	4.914154096392319	4.915555887432739
